Key,english

perkAA12Rank1Desc,"AA12 Bậc 1"
perkAA12Rank2Desc,"AA12 Bậc 2"
perkAA12Rank3Desc,"AA12 Bậc 3"
perkAA12Rank4Desc,"AA12 Bậc 4"
perkAA12Rank5Desc,"AA12 Bậc 5"
perkAA12Rank6Desc,"AA12 Bậc 6"

perkFN40GLRank1Desc,"FN40GL Bậc 1"
perkFN40GLRank2Desc,"FN40GL Bậc 2"
perkFN40GLRank3Desc,"FN40GL Bậc 3"
perkFN40GLRank4Desc,"FN40GL Bậc 4"
perkFN40GLRank5Desc,"FN40GL Bậc 5"
perkFN40GLRank6Desc,"FN40GL Bậc 6"

perkChinaLakeRank1Desc,"ChinaLake Bậc 1"
perkChinaLakeRank2Desc,"ChinaLake Bậc 2"
perkChinaLakeRank3Desc,"ChinaLake Bậc 3"
perkChinaLakeRank4Desc,"ChinaLake Bậc 4"
perkChinaLakeRank5Desc,"ChinaLake Bậc 5"
perkChinaLakeRank6Desc,"ChinaLake Bậc 6"

perkM32a1mglRank1Desc,"M32a1mgl Bậc 1"
perkM32a1mglRank2Desc,"M32a1mgl Bậc 2"
perkM32a1mglRank3Desc,"M32a1mgl Bậc 3"
perkM32a1mglRank4Desc,"M32a1mgl Bậc 4"
perkM32a1mglRank5Desc,"M32a1mgl Bậc 5"
perkM32a1mglRank6Desc,"M32a1mgl Bậc 6"

perkRPG7Rank1Desc,"RPG7 Bậc 1"
perkRPG7Rank2Desc,"RPG7 Bậc 2"
perkRPG7Rank3Desc,"RPG7 Bậc 3"
perkRPG7Rank4Desc,"RPG7 Bậc 4"
perkRPG7Rank5Desc,"RPG7 Bậc 5"
perkRPG7Rank6Desc,"RPG7 Bậc 6"

perkRPG26Rank1Desc,"RPG26 Bậc 1"
perkRPG26Rank2Desc,"RPG26 Bậc 2"
perkRPG26Rank3Desc,"RPG26 Bậc 3"
perkRPG26Rank4Desc,"RPG26 Bậc 4"
perkRPG26Rank5Desc,"RPG26 Bậc 5"
perkRPG26Rank6Desc,"RPG26 Bậc 6"

perkADARRank1Desc,"ADAR Bậc 1"
perkADARRank2Desc,"ADAR Bậc 2"
perkADARRank3Desc,"ADAR Bậc 3"
perkADARRank4Desc,"ADAR Bậc 4"
perkADARRank5Desc,"ADAR Bậc 5"
perkADARRank6Desc,"ADAR Bậc 6"

perkM700Rank1Desc,"M700 Bậc 1"
perkM700Rank2Desc,"M700 Bậc 2"
perkM700Rank3Desc,"M700 Bậc 3"
perkM700Rank4Desc,"M700 Bậc 4"
perkM700Rank5Desc,"M700 Bậc 5"
perkM700Rank6Desc,"M700 Bậc 6"

perkT5000Rank1Desc,"T5000 Bậc 1"
perkT5000Rank2Desc,"T5000 Bậc 2"
perkT5000Rank3Desc,"T5000 Bậc 3"
perkT5000Rank4Desc,"T5000 Bậc 4"
perkT5000Rank5Desc,"T5000 Bậc 5"
perkT5000Rank6Desc,"T5000 Bậc 6"

perkFalsa58DMRRank1Desc,"Falsa58DMR Bậc 1"
perkFalsa58DMRRank2Desc,"Falsa58DMR Bậc 2"
perkFalsa58DMRRank3Desc,"Falsa58DMR Bậc 3"
perkFalsa58DMRRank4Desc,"Falsa58DMR Bậc 4"
perkFalsa58DMRRank5Desc,"Falsa58DMR Bậc 5"
perkFalsa58DMRRank6Desc,"Falsa58DMR Bậc 6"

perkM1AEBRRank1Desc,"M1AEBR Bậc 1"
perkM1AEBRRank2Desc,"M1AEBR Bậc 2"
perkM1AEBRRank3Desc,"M1AEBR Bậc 3"
perkM1AEBRRank4Desc,"M1AEBR Bậc 4"
perkM1AEBRRank5Desc,"M1AEBR Bậc 5"
perkM1AEBRRank6Desc,"M1AEBR Bậc 6"

perkRFBRank1Desc,"RFB Bậc 1"
perkRFBRank2Desc,"RFB Bậc 2"
perkRFBRank3Desc,"RFB Bậc 3"
perkRFBRank4Desc,"RFB Bậc 4"
perkRFBRank5Desc,"RFB Bậc 5"
perkRFBRank6Desc,"RFB Bậc 6"

perkSR25Rank1Desc,"SR25 Bậc 1"
perkSR25Rank2Desc,"SR25 Bậc 2"
perkSR25Rank3Desc,"SR25 Bậc 3"
perkSR25Rank4Desc,"SR25 Bậc 4"
perkSR25Rank5Desc,"SR25 Bậc 5"
perkSR25Rank6Desc,"SR25 Bậc 6"

perkRSASSRank1Desc,"RSASS Bậc 1"
perkRSASSRank2Desc,"RSASS Bậc 2"
perkRSASSRank3Desc,"RSASS Bậc 3"
perkRSASSRank4Desc,"RSASS Bậc 4"
perkRSASSRank5Desc,"RSASS Bậc 5"
perkRSASSRank6Desc,"RSASS Bậc 6"

perkHKG28Rank1Desc,"HKG28 Bậc 1"
perkHKG28Rank2Desc,"HKG28 Bậc 2"
perkHKG28Rank3Desc,"HKG28 Bậc 3"
perkHKG28Rank4Desc,"HKG28 Bậc 4"
perkHKG28Rank5Desc,"HKG28 Bậc 5"
perkHKG28Rank6Desc,"HKG28 Bậc 6"

perkMP18Rank1Desc,"MP18 Bậc 1"
perkMP18Rank2Desc,"MP18 Bậc 2"
perkMP18Rank3Desc,"MP18 Bậc 3"
perkMP18Rank4Desc,"MP18 Bậc 4"
perkMP18Rank5Desc,"MP18 Bậc 5"
perkMP18Rank6Desc,"MP18 Bậc 6"

perkMosinRank1Desc,"Mosin Bậc 1"
perkMosinRank2Desc,"Mosin Bậc 2"
perkMosinRank3Desc,"Mosin Bậc 3"
perkMosinRank4Desc,"Mosin Bậc 4"
perkMosinRank5Desc,"Mosin Bậc 5"
perkMosinRank6Desc,"Mosin Bậc 6"

perkSV98Rank1Desc,"SV98 Bậc 1"
perkSV98Rank2Desc,"SV98 Bậc 2"
perkSV98Rank3Desc,"SV98 Bậc 3"
perkSV98Rank4Desc,"SV98 Bậc 4"
perkSV98Rank5Desc,"SV98 Bậc 5"
perkSV98Rank6Desc,"SV98 Bậc 6"

perkSVTRank1Desc,"SVT Bậc 1"
perkSVTRank2Desc,"SVT Bậc 2"
perkSVTRank3Desc,"SVT Bậc 3"
perkSVTRank4Desc,"SVT Bậc 4"
perkSVTRank5Desc,"SVT Bậc 5"
perkSVTRank6Desc,"SVT Bậc 6"

perkSVDRank1Desc,"SVD Bậc 1"
perkSVDRank2Desc,"SVD Bậc 2"
perkSVDRank3Desc,"SVD Bậc 3"
perkSVDRank4Desc,"SVD Bậc 4"
perkSVDRank5Desc,"SVD Bậc 5"
perkSVDRank6Desc,"SVD Bậc 6"

perkAXMCRank1Desc,"AXMC Bậc 1"
perkAXMCRank2Desc,"AXMC Bậc 2"
perkAXMCRank3Desc,"AXMC Bậc 3"
perkAXMCRank4Desc,"AXMC Bậc 4"
perkAXMCRank5Desc,"AXMC Bậc 5"
perkAXMCRank6Desc,"AXMC Bậc 6"

perkSwordMK18Rank1Desc,"Sword MK18 Bậc 1"
perkSwordMK18Rank2Desc,"Sword MK18 Bậc 2"
perkSwordMK18Rank3Desc,"Sword MK18 Bậc 3"
perkSwordMK18Rank4Desc,"Sword MK18 Bậc 4"
perkSwordMK18Rank5Desc,"Sword MK18 Bậc 5"
perkSwordMK18Rank6Desc,"Sword MK18 Bậc 6"

perkAUGA3Rank1Desc,"AUGA3 Bậc 1"
perkAUGA3Rank2Desc,"AUGA3 Bậc 2"
perkAUGA3Rank3Desc,"AUGA3 Bậc 3"
perkAUGA3Rank4Desc,"AUGA3 Bậc 4"
perkAUGA3Rank5Desc,"AUGA3 Bậc 5"
perkAUGA3Rank6Desc,"AUGA3 Bậc 6"

perkG36kv2Rank1Desc,"G36kv2 Bậc 1"
perkG36kv2Rank2Desc,"G36kv2 Bậc 2"
perkG36kv2Rank3Desc,"G36kv2 Bậc 3"
perkG36kv2Rank4Desc,"G36kv2 Bậc 4"
perkG36kv2Rank5Desc,"G36kv2 Bậc 5"
perkG36kv2Rank6Desc,"G36kv2 Bậc 6"

perkM4A1Rank1Desc,"M4A1 Bậc 1"
perkM4A1Rank2Desc,"M4A1 Bậc 2"
perkM4A1Rank3Desc,"M4A1 Bậc 3"
perkM4A1Rank4Desc,"M4A1 Bậc 4"
perkM4A1Rank5Desc,"M4A1 Bậc 5"
perkM4A1Rank6Desc,"M4A1 Bậc 6"

perkM16A4Rank1Desc,"M16A4 Bậc 1"
perkM16A4Rank2Desc,"M16A4 Bậc 2"
perkM16A4Rank3Desc,"M16A4 Bậc 3"
perkM16A4Rank4Desc,"M16A4 Bậc 4"
perkM16A4Rank5Desc,"M16A4 Bậc 5"
perkM16A4Rank6Desc,"M16A4 Bậc 6"

perkHK416Rank1Desc,"HK416 Bậc 1"
perkHK416Rank2Desc,"HK416 Bậc 2"
perkHK416Rank3Desc,"HK416 Bậc 3"
perkHK416Rank4Desc,"HK416 Bậc 4"
perkHK416Rank5Desc,"HK416 Bậc 5"
perkHK416Rank6Desc,"HK416 Bậc 6"

perkIWITavorx95Rank1Desc,"IWITavorx95 Bậc 1"
perkIWITavorx95Rank2Desc,"IWITavorx95 Bậc 2"
perkIWITavorx95Rank3Desc,"IWITavorx95 Bậc 3"
perkIWITavorx95Rank4Desc,"IWITavorx95 Bậc 4"
perkIWITavorx95Rank5Desc,"IWITavorx95 Bậc 5"
perkIWITavorx95Rank6Desc,"IWITavorx95 Bậc 6"

perkAK300VelociraptorRank1Desc,"AK300 Velociraptor Bậc 1"
perkAK300VelociraptorRank2Desc,"AK300 Velociraptor Bậc 2"
perkAK300VelociraptorRank3Desc,"AK300 Velociraptor Bậc 3"
perkAK300VelociraptorRank4Desc,"AK300 Velociraptor Bậc 4"
perkAK300VelociraptorRank5Desc,"AK300 Velociraptor Bậc 5"
perkAK300VelociraptorRank6Desc,"AK300 Velociraptor Bậc 6"

perkHoneyBadgerRank1Desc,"Honey Badger Bậc 1"
perkHoneyBadgerRank2Desc,"Honey Badger Bậc 2"
perkHoneyBadgerRank3Desc,"Honey Badger Bậc 3"
perkHoneyBadgerRank4Desc,"Honey Badger Bậc 4"
perkHoneyBadgerRank5Desc,"Honey Badger Bậc 5"
perkHoneyBadgerRank6Desc,"Honey Badger Bậc 6"

perkMCXRank1Desc,"MCX Bậc 1"
perkMCXRank2Desc,"MCX Bậc 2"
perkMCXRank3Desc,"MCX Bậc 3"
perkMCXRank4Desc,"MCX Bậc 4"
perkMCXRank5Desc,"MCX Bậc 5"
perkMCXRank6Desc,"MCX Bậc 6"

perkFALsa58brRank1Desc,"FALsa 58br Bậc 1"
perkFALsa58brRank2Desc,"FALsa 58br Bậc 2"
perkFALsa58brRank3Desc,"FALsa 58br Bậc 3"
perkFALsa58brRank4Desc,"FALsa 58br Bậc 4"
perkFALsa58brRank5Desc,"FALsa 58br Bậc 5"
perkFALsa58brRank6Desc,"FALsa 58br Bậc 6"

perkMDR556Rank1Desc,"MDR556 Bậc 1"
perkMDR556Rank2Desc,"MDR556 Bậc 2"
perkMDR556Rank3Desc,"MDR556 Bậc 3"
perkMDR556Rank4Desc,"MDR556 Bậc 4"
perkMDR556Rank5Desc,"MDR556 Bậc 5"
perkMDR556Rank6Desc,"MDR556 Bậc 6"

perkMDR762Rank1Desc,"MDR762 Bậc 1"
perkMDR762Rank2Desc,"MDR762 Bậc 2"
perkMDR762Rank3Desc,"MDR762 Bậc 3"
perkMDR762Rank4Desc,"MDR762 Bậc 4"
perkMDR762Rank5Desc,"MDR762 Bậc 5"
perkMDR762Rank6Desc,"MDR762 Bậc 6"

perkScarHRank1Desc,"ScarH Bậc 1"
perkScarHRank2Desc,"ScarH Bậc 2"
perkScarHRank3Desc,"ScarH Bậc 3"
perkScarHRank4Desc,"ScarH Bậc 4"
perkScarHRank5Desc,"ScarH Bậc 5"
perkScarHRank6Desc,"ScarH Bậc 6"

perkHK417Rank1Desc,"HK417 Bậc 1"
perkHK417Rank2Desc,"HK417 Bậc 2"
perkHK417Rank3Desc,"HK417 Bậc 3"
perkHK417Rank4Desc,"HK417 Bậc 4"
perkHK417Rank5Desc,"HK417 Bậc 5"
perkHK417Rank6Desc,"HK417 Bậc 6"

perkM14SassRank1Desc,"M14 Sass Bậc 1"
perkM14SassRank2Desc,"M14 Sass Bậc 2"
perkM14SassRank3Desc,"M14 Sass Bậc 3"
perkM14SassRank4Desc,"M14 Sass Bậc 4"
perkM14SassRank5Desc,"M14 Sass Bậc 5"
perkM14SassRank6Desc,"M14 Sass Bậc 6"

perkMCXSpearRank1Desc,"MCX Spear Bậc 1"
perkMCXSpearRank2Desc,"MCX Spear Bậc 2"
perkMCXSpearRank3Desc,"MCX Spear Bậc 3"
perkMCXSpearRank4Desc,"MCX Spear Bậc 4"
perkMCXSpearRank5Desc,"MCX Spear Bậc 5"
perkMCXSpearRank6Desc,"MCX Spear Bậc 6"

perkASH12Rank1Desc,"ASH12 Bậc 1"
perkASH12Rank2Desc,"ASH12 Bậc 2"
perkASH12Rank3Desc,"ASH12 Bậc 3"
perkASH12Rank4Desc,"ASH12 Bậc 4"
perkASH12Rank5Desc,"ASH12 Bậc 5"
perkASH12Rank6Desc,"ASH12 Bậc 6"

perkRPK16Rank1Desc,"RPK16 Bậc 1"
perkRPK16Rank2Desc,"RPK16 Bậc 2"
perkRPK16Rank3Desc,"RPK16 Bậc 3"
perkRPK16Rank4Desc,"RPK16 Bậc 4"
perkRPK16Rank5Desc,"RPK16 Bậc 5"
perkRPK16Rank6Desc,"RPK16 Bậc 6"

perkFNMinimiRank1Desc,"FN Mini mi Bậc 1"
perkFNMinimiRank2Desc,"FN Mini mi Bậc 2"
perkFNMinimiRank3Desc,"FN Mini mi Bậc 3"
perkFNMinimiRank4Desc,"FN Mini mi Bậc 4"
perkFNMinimiRank5Desc,"FN Mini mi Bậc 5"
perkFNMinimiRank6Desc,"FN Mini mi Bậc 6"

perkRPDRank1Desc,"RPD Bậc 1"
perkRPDRank2Desc,"RPD Bậc 2"
perkRPDRank3Desc,"RPD Bậc 3"
perkRPDRank4Desc,"RPD Bậc 4"
perkRPDRank5Desc,"RPD Bậc 5"
perkRPDRank6Desc,"RPD Bậc 6"

perkM60E6Rank1Desc,"M60E6 Bậc 1"
perkM60E6Rank2Desc,"M60E6 Bậc 2"
perkM60E6Rank3Desc,"M60E6 Bậc 3"
perkM60E6Rank4Desc,"M60E6 Bậc 4"
perkM60E6Rank5Desc,"M60E6 Bậc 5"
perkM60E6Rank6Desc,"M60E6 Bậc 6"

perkPKPRank1Desc,"PKP Bậc 1"
perkPKPRank2Desc,"PKP Bậc 2"
perkPKPRank3Desc,"PKP Bậc 3"
perkPKPRank4Desc,"PKP Bậc 4"
perkPKPRank5Desc,"PKP Bậc 5"
perkPKPRank6Desc,"PKP Bậc 6"

perkAKS74UNRank1Desc,"AKS 74UN Bậc 1"
perkAKS74UNRank2Desc,"AKS 74UN Bậc 2"
perkAKS74UNRank3Desc,"AKS 74UN Bậc 3"
perkAKS74UNRank4Desc,"AKS 74UN Bậc 4"
perkAKS74UNRank5Desc,"AKS 74UN Bậc 5"
perkAKS74UNRank6Desc,"AKS 74UN Bậc 6"

perkAK74NRank1Desc,"AK74N Bậc 1"
perkAK74NRank2Desc,"AK74N Bậc 2"
perkAK74NRank3Desc,"AK74N Bậc 3"
perkAK74NRank4Desc,"AK74N Bậc 4"
perkAK74NRank5Desc,"AK74N Bậc 5"
perkAK74NRank6Desc,"AK74N Bậc 6"

perkAK74MRank1Desc,"AK74M Bậc 1"
perkAK74MRank2Desc,"AK74M Bậc 2"
perkAK74MRank3Desc,"AK74M Bậc 3"
perkAK74MRank4Desc,"AK74M Bậc 4"
perkAK74MRank5Desc,"AK74M Bậc 5"
perkAK74MRank6Desc,"AK74M Bậc 6"

perkAK12Rank1Desc,"AK12 Bậc 1"
perkAK12Rank2Desc,"AK12 Bậc 2"
perkAK12Rank3Desc,"AK12 Bậc 3"
perkAK12Rank4Desc,"AK12 Bậc 4"
perkAK12Rank5Desc,"AK12 Bậc 5"
perkAK12Rank6Desc,"AK12 Bậc 6"

perkAK107Rank1Desc,"AK107 Bậc 1"
perkAK107Rank2Desc,"AK107 Bậc 2"
perkAK107Rank3Desc,"AK107 Bậc 3"
perkAK107Rank4Desc,"AK107 Bậc 4"
perkAK107Rank5Desc,"AK107 Bậc 5"
perkAK107Rank6Desc,"AK107 Bậc 6"

perkSKSRank1Desc,"SKS Bậc 1"
perkSKSRank2Desc,"SKS Bậc 2"
perkSKSRank3Desc,"SKS Bậc 3"
perkSKSRank4Desc,"SKS Bậc 4"
perkSKSRank5Desc,"SKS Bậc 5"
perkSKSRank6Desc,"SKS Bậc 6"

perkAKMNRank1Desc,"AKMN Bậc 1"
perkAKMNRank2Desc,"AKMN Bậc 2"
perkAKMNRank3Desc,"AKMN Bậc 3"
perkAKMNRank4Desc,"AKMN Bậc 4"
perkAKMNRank5Desc,"AKMN Bậc 5"
perkAKMNRank6Desc,"AKMN Bậc 6"

perkAK103Rank1Desc,"AK103 Bậc 1"
perkAK103Rank2Desc,"AK103 Bậc 2"
perkAK103Rank3Desc,"AK103 Bậc 3"
perkAK103Rank4Desc,"AK103 Bậc 4"
perkAK103Rank5Desc,"AK103 Bậc 5"
perkAK103Rank6Desc,"AK103 Bậc 6"

perkAK109Rank1Desc,"AK109 Bậc 1"
perkAK109Rank2Desc,"AK109 Bậc 2"
perkAK109Rank3Desc,"AK109 Bậc 3"
perkAK109Rank4Desc,"AK109 Bậc 4"
perkAK109Rank5Desc,"AK109 Bậc 5"
perkAK109Rank6Desc,"AK109 Bậc 6"

perkRD704Rank1Desc,"RD704 Bậc 1"
perkRD704Rank2Desc,"RD704 Bậc 2"
perkRD704Rank3Desc,"RD704 Bậc 3"
perkRD704Rank4Desc,"RD704 Bậc 4"
perkRD704Rank5Desc,"RD704 Bậc 5"
perkRD704Rank6Desc,"RD704 Bậc 6"

perkMK47Rank1Desc,"MK47 Bậc 1"
perkMK47Rank2Desc,"MK47 Bậc 2"
perkMK47Rank3Desc,"MK47 Bậc 3"
perkMK47Rank4Desc,"MK47 Bậc 4"
perkMK47Rank5Desc,"MK47 Bậc 5"
perkMK47Rank6Desc,"MK47 Bậc 6"

perk9A91Rank1Desc,"9A91 Bậc 1"
perk9A91Rank2Desc,"9A91 Bậc 2"
perk9A91Rank3Desc,"9A91 Bậc 3"
perk9A91Rank4Desc,"9A91 Bậc 4"
perk9A91Rank5Desc,"9A91 Bậc 5"
perk9A91Rank6Desc,"9A91 Bậc 6"

perkVSSRank1Desc,"VSS Bậc 1"
perkVSSRank2Desc,"VSS Bậc 2"
perkVSSRank3Desc,"VSS Bậc 3"
perkVSSRank4Desc,"VSS Bậc 4"
perkVSSRank5Desc,"VSS Bậc 5"
perkVSSRank6Desc,"VSS Bậc 6"

perkASVALRank1Desc,"ASVAL Bậc 1"
perkASVALRank2Desc,"ASVAL Bậc 2"
perkASVALRank3Desc,"ASVAL Bậc 3"
perkASVALRank4Desc,"ASVAL Bậc 4"
perkASVALRank5Desc,"ASVAL Bậc 5"
perkASVALRank6Desc,"ASVAL Bậc 6"

perkFamasRank1Desc,"Famas Bậc 1"
perkFamasRank2Desc,"Famas Bậc 2"
perkFamasRank3Desc,"Famas Bậc 3"
perkFamasRank4Desc,"Famas Bậc 4"
perkFamasRank5Desc,"Famas Bậc 5"
perkFamasRank6Desc,"Famas Bậc 6"

perkAK50Rank1Desc,"AK50 Bậc 1"
perkAK50Rank2Desc,"AK50 Bậc 2"
perkAK50Rank3Desc,"AK50 Bậc 3"
perkAK50Rank4Desc,"AK50 Bậc 4"
perkAK50Rank5Desc,"AK50 Bậc 5"
perkAK50Rank6Desc,"AK50 Bậc 6"

perkmp133Rank1Desc,"mp133 Bậc 1"
perkmp133Rank2Desc,"mp133 Bậc 2"
perkmp133Rank3Desc,"mp133 Bậc 3"
perkmp133Rank4Desc,"mp133 Bậc 4"
perkmp133Rank5Desc,"mp133 Bậc 5"
perkmp133Rank6Desc,"mp133 Bậc 6"

perkmxlrRank1Desc,"mxlr Bậc 1"
perkmxlrRank2Desc,"mxlr Bậc 2"
perkmxlrRank3Desc,"mxlr Bậc 3"
perkmxlrRank4Desc,"mxlr Bậc 4"
perkmxlrRank5Desc,"mxlr Bậc 5"
perkmxlrRank6Desc,"mxlr Bậc 6"

perkm16a1Rank1Desc,"m16a1 Bậc 1"
perkm16a1Rank2Desc,"m16a1 Bậc 2"
perkm16a1Rank3Desc,"m16a1 Bậc 3"
perkm16a1Rank4Desc,"m16a1 Bậc 4"
perkm16a1Rank5Desc,"m16a1 Bậc 5"
perkm16a1Rank6Desc,"m16a1 Bậc 6"

perkmk12sprRank1Desc,"mk12spr Bậc 1"
perkmk12sprRank2Desc,"mk12spr Bậc 2"
perkmk12sprRank3Desc,"mk12spr Bậc 3"
perkmk12sprRank4Desc,"mk12spr Bậc 4"
perkmk12sprRank5Desc,"mk12spr Bậc 5"
perkmk12sprRank6Desc,"mk12spr Bậc 6"

perknl545Rank1Desc,"nl545 Bậc 1"
perknl545Rank2Desc,"nl545 Bậc 2"
perknl545Rank3Desc,"nl545 Bậc 3"
perknl545Rank4Desc,"nl545 Bậc 4"
perknl545Rank5Desc,"nl545 Bậc 5"
perknl545Rank6Desc,"nl545 Bậc 6"

Gunnl545SkillMagazine,"Tạp chí nl545"
Gunnl545SkillMagazineDesc,"Chế tạo nl545\nCải thiện kỹ năng chế tạo vũ khí nl545"
craftinggunnl545,"nl545"
craftinggunnl545Name,"nl545"
craftinggunnl545Desc,"Đọc [DECEA3]nl545[-] cho phép bạn chế tạo Súng Shotgun cưa nòng nl545."
craftinggunnl545LongDesc,"Mô tả chi tiết"

Gunmk12sprSkillMagazine,"Tạp chí mk12spr"
Gunmk12sprSkillMagazineDesc,"Chế tạo mk12spr\nCải thiện kỹ năng chế tạo vũ khí mk12spr"
craftinggunmk12spr,"mk12spr"
craftinggunmk12sprName,"mk12spr"
craftinggunmk12sprDesc,"Đọc [DECEA3]mk12spr[-] cho phép bạn chế tạo Súng Shotgun cưa nòng mk12spr."
craftinggunmk12sprLongDesc,"Mô tả chi tiết"

Gunm16a1SkillMagazine,"Tạp chí m16a1"
Gunm16a1SkillMagazineDesc,"Chế tạo m16a1\nCải thiện kỹ năng chế tạo vũ khí m16a1"
craftinggunm16a1,"m16a1"
craftinggunm16a1Name,"m16a1"
craftinggunm16a1Desc,"Đọc [DECEA3]m16a1[-] cho phép bạn chế tạo Súng Shotgun cưa nòng m16a1."
craftinggunm16a1LongDesc,"Mô tả chi tiết"

GunmxlrSkillMagazine,"Tạp chí mxlr"
GunmxlrSkillMagazineDesc,"Chế tạo mxlr\nCải thiện kỹ năng chế tạo vũ khí mxlr"
craftinggunmxlr,"mxlr"
craftinggunmxlrName,"mxlr"
craftinggunmxlrDesc,"Đọc [DECEA3]mxlr[-] cho phép bạn chế tạo Súng Shotgun cưa nòng mxlr."
craftinggunmxlrLongDesc,"Mô tả chi tiết"

Gunmp133SkillMagazine,"Tạp chí mp133"
Gunmp133SkillMagazineDesc,"Chế tạo mp133\nCải thiện kỹ năng chế tạo vũ khí mp133"
craftinggunmp133,"mp133"
craftinggunmp133Name,"mp133"
craftinggunmp133Desc,"Đọc [DECEA3]mp133[-] cho phép bạn chế tạo Súng Shotgun cưa nòng mp133."
craftinggunmp133LongDesc,"Mô tả chi tiết"

Gundvl10SkillMagazine,"Tạp chí m110 sass"
Gundvl10SkillMagazineDesc,"Chế tạo m110 sass\nCải thiện kỹ năng chế tạo Súng bắn tỉa m110 sass"
craftinggunm110sass,"m110 sass"
craftinggunm110sassName,"m110 sass"
craftinggunm110sassDesc,"Đọc [DECEA3]m110 sass[-] cho phép bạn chế tạo Súng bắn tỉa m110 sass."
craftinggunm110sassLongDesc,"Mô tả chi tiết"

perkM110SASSRank1Desc,"Người thân (Rellie)"
perkM110SASSRank2Desc,"Quý cô (Sheila)"
perkM110SASSRank3Desc,"Gã trai (Bloke)"
perkM110SASSRank4Desc,"Bạn hữu (Mate)"
perkM110SASSRank5Desc,"Nhóc tì (Kippa)"
perkM110SASSRank6Desc,"Đồng chí (Fella)"

perkEFTXSMGSRank1Desc,"Lão ngốc Galah"
perkEFTXSMGSRank2Desc,"Công ngớ ngẩn"
perkEFTXSMGSRank3Desc,"Vẹt mào ồn ào"
perkEFTXSMGSRank4Desc,"Đại chiến Đà điểu Emu"
perkEFTXSMGSRank5Desc,"Chim ác là lao kích"

perkEFTXPistolsRank1Desc,"Đi tìm Nemo"
perkEFTXPistolsRank2Desc,"Đó không phải là dao"
perkEFTXPistolsRank3Desc,"Dingo ăn mất con tôi rồi"
perkEFTXPistolsRank4Desc,"Tôm nướng vỉ"
perkEFTXPistolsRank5Desc,"Thợ săn cá sấu Dundee"

perkEFTXShotgunsRank1Desc,"Chó Dingo"
perkEFTXShotgunsRank2Desc,"Đủ trình Koala"
perkEFTXShotgunsRank3Desc,"Chuột túi Wallaby"
perkEFTXShotgunsRank4Desc,"Chuột túi Kangaroo"
perkEFTXShotgunsRank5Desc,"Gấu thả (Drop Bears)"

perkEFTXBoomBoomRank1Desc,"Bùm"
perkEFTXBoomBoomRank2Desc,"Bùm Lớn"
perkEFTXBoomBoomRank3Desc,"Thả bom"
perkEFTXBoomBoomRank4Desc,"Bùm bùm bùm banh cái phòng luôn"
perkEFTXBoomBoomRank5Desc,"Siêu siêu siêu Bùm"

perkEFTXRiflesRank1Desc,"Chuột túi Antechinus"
perkEFTXRiflesRank2Desc,"Chuột túi đá Monjon"
perkEFTXRiflesRank3Desc,"Ô tác Úc"
perkEFTXRiflesRank4Desc,"Bạch tuộc Wunderpus"
perkEFTXRiflesRank5Desc,"Cá Gobbleguts miền Tây"

perkEFTXMGSRank1Desc,"Bạn hữu"
perkEFTXMGSRank2Desc,"Ổn áp ngay thôi"
perkEFTXMGSRank3Desc,"Bớt cái mồm lại"
perkEFTXMGSRank4Desc,"Xe nát (Banger)"
perkEFTXMGSRank5Desc,"Điên như rắn bị cắt"

perkEFTXDoctorJournalsRank1Desc,"Lang băm"
perkEFTXDoctorJournalsRank2Desc,"Tay mổ dạo"
perkEFTXDoctorJournalsRank3,"Bác sĩ"
perkEFTXDoctorJournalsRank4Desc,"Phấn chấn"
perkEFTXDoctorJournalsRank5Desc,"Thầy thuốc"

perkEFTXSurgeonsBooksRank1Desc,"Nghỉ ốm"
perkEFTXSurgeonsBooksRank2Desc,"Xúc xích nướng"
perkEFTXSurgeonsBooksRank3Desc,"Nước Úc (Straya)"
perkEFTXSurgeonsBooksRank4Desc,"Túi ngủ (Swag)"
perkEFTXSurgeonsBooksRank5Desc,"Chuẩn người Úc"

perkAdrenalineRushName,"Chất kích thích chiến đấu"
perkAdrenalineRushDesc,"Tăng hiệu quả của thuốc tiêm và khả năng sống sót khi hăng máu (Adrenaline rush)."
perkAdrenalineRush1LongDesc,"Hiệu ứng Adrenaline rush hiệu quả hơn [4FBE28]100%[-] và giờ có giai đoạn hồi chiêu.\nNếu máu của bạn giảm xuống dưới [4FBE28]20hp[-], tốc độ tấn công và chạy của bạn sẽ nhanh hơn [4FBE28]30%[-], bạn tiêu tốn ít thể lực hơn [4FBE28]50%[-], và tốc độ nạp đạn được [4FBE28]nhân đôi[-]. Tỷ lệ hồi phục giúp bạn hồi [4FBE28]1[-] máu mỗi [4FBE28]4[-] giây.\nGiai đoạn hồi chiêu: Trong khoảng [4FBE28]20hp[-] và [4FBE28]25hp[-], các chỉ số này vẫn duy trì nhưng hiệu quả giảm [4FBE28]25%[-].\n\nThuốc tiêm kéo dài tác dụng thêm [4FBE28]10%[-]."
