gunBotRoboticsParts,items,Gun,,,Robotics Parts,,Robotikteile,Partes de robótica,Pièces de robotique,Parti robotiche,ロボットパーツ,로보틱 터렛 부품,Robotyczne części,Peças de Robótica,Части роботизированной пушки,Robot Parçaları,机器人零件,機器人零件
gunRifleT1HuntingRifleDesc,items,Gun,,,This common farmer's hunting rifle uses 7.62mm ammo.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,"Dieses gewöhnliche Jagdgewehr verwendet 7,62-mm-Munition.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Gewehrteilen zerlegt werden.","Este rifle de caza común utiliza munición de 7,62 mm.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de rifle.","Ce fusil de chasse commun de fermier utilise des munitions de calibre 7,62 mm.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces de fusil.","Questo normale fucile da caccia usa munizioni da 7,62 mm.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per fucile.",7.62mm弾を使用する普通の農夫が持つような狩猟ライフルです。\n\n修理キットで修理可能。\n解体するとライフルパーツに。,이 평범한 농부의 사냥용 라이플은 7.62mm 탄약을 사용합니다.\n\n수리 키트로 수리할 수 있습니다.\n기관총 부품으로 분해됩니다.,"Popularny wśród farmerów model sztucera kalibru 7,62 mm.\n\nPrzedmiot naprawisz zestawem naprawczym.\nZ przedmiotu odzyskasz części karabinu.","Este rifle de caça comum entre fazendeiros usa munição de 7,62 mm.\n\nConserte com o kit de reparos.\nRecicle para obter peças de rifle.","Распространенное среди фермеров охотничье ружье использует патроны калибра 7,62 мм.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части ружья.","Çiftçilerin elinden düşürmediği bu basit av tüfeği, 7,62 mm mühimmat kullanır.\n\nOnarım Kitiyle onar.\nHurdaya çıkararak Tüfek parçaları elde et.",普通农民使用的猎枪，使用7.62毫米弹药。\n\n可使用维修工具修理。\n可分解为步枪零件。,狩獵步槍一般使用的是 7.62 毫米的子彈。\n\n使用維修工具包維修。\n步槍部件報廢。
gunRifleT1HuntingRifleParts,items,Gun,,,Rifle Parts,,Gewehrteile,Partes de rifle,Pièces de fusil,Parti per fucile da caccia,ライフルパーツ,라이플 부품,Części karabinu,Peças de rifle,Части ружья,Tüfek Parçaları,步枪零件,步槍部件
gunRifleT1HuntingRifleSchematic,items,Gun,,,Hunting Rifle Schematic,,Bauplan – Jagdgewehr,Esquema de rifle de caza,Schéma de fusil de chasse,Schema del fucile da caccia,設計図「狩猟ライフル」,사냥용 라이플 도면,Sztucer — schemat,Diagrama de Rifle de Caça,Схема охотничьего ружья,Av Tüfeği Şeması,猎枪设计图,狩獵步槍原理圖
gunRifleT2LeverActionRifle,items,Gun,,,Lever Action Rifle,,Unterhebelrepetierer,Rifle de palanca,Fusil à levier,Fucile a leva,レバーアクションライフル,레버 액션 라이플,Karabin dwutaktowy,Fuzil de ação de alavanca,Винтовка рычажного действия,Levyeli Tüfek,杠杆式步枪,槓桿式步槍
gunRifleT2LeverActionRifleDesc,items,Gun,,,This Lever Action rifle uses 7.62mm ammo and is your first choice if you want to make that shot count.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.,,"Dieser Unterhebelrepetierer verwendet 7,62-mm-Munition und ist die beste Wahl für präzises Feuer.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Gewehrteilen zerlegt werden.",Este rifle de palanca utiliza municiones de 7.62 mm y es tu primera opción si quieres dar un buen tiro.\n\nSe repara con un kit de reparación.\nDesguázalo para obtener partes de rifle.,"Ce fusil à levier utilise des munitions de calibre 7,62 mm, ce sera votre arme de prédilection si vous ne voulez pas rater votre coup.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces de fusil.","Questo fucile a leva usa munizioni da 7,62 mm ed è la scelta giusta se vuoi che il colpo vada a segno.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per fucile.",このレバーアクションライフルには7.62mm弾を使用します。命中精度を上げたいならこれしかありません。\n\n修理キットで修理可能。\n解体するとライフルパーツに。,이 레버 액션 라이플은 7.62mm 탄약을 사용하며 확실한 결과를 내고 싶을 때 선택해야 할 총입니다.\n\n수리 키트로 수리할 수 있습니다.\n라이플 부품으로 분해됩니다.,"Ten karabin dwutaktowy strzela amunicją kalibru 7,62 mm jest najlepszym wyborem, jeśli nie stać cię na pudło.\n\nNaprawiaj za pomocą zestawu naprawczego.\nZezłomuj, by uzyskać części karabinu.",Este fuzil de ação de alavanca usa munição de 7.62 mm e é sua primeira opção caso queira acertar na mosca.\nConserte com o kit de reparos.\nRecicle para obter peças de fuzil.,"Винтовка рычажного действия использует патроны 7,62 мм. Это лучший выбор, если вы хотите, чтобы с вашими выстрелами считались.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на детали винтовки.","Bu Levyeli Tüfek, 7.62 mm mühimmat kullanır ve attığını vurmak istiyorsan bu silahı kullanmalısın.\n\nOnarım Kitiyle onarılır.\nHurdaya çıkardığında Tüfek parçaları elde edersin.",这把杠杆式步枪使用7.62毫米弹药。如果你想百发百中，它是你的不二选择。\n\n可使用维修工具修理。\n可分解为步枪零件。,如果你想百發百中，首選這把使用 7.62mm 彈藥的槓桿式步槍。\n\n使用維修工具包維修。\n報廢為步槍部件。
gunRifleT2LeverActionRifleSchematic,items,Gun,,,Lever Action Rifle Schematic,,Bauplan – Unterhebelrepetierer,Esquema de rifle de palanca,Schéma de fusil à levier,Schema del fucile a leva,設計図「レバーアクションライフル」,레버 액션 라이플 도면,Karabin dwutaktowy – schemat,Diagrama de fuzil de ação de alavanca,Схема винтовки рычажного действия,Levyeli Tüfek Şeması,杠杆式步枪设计图,槓桿式步槍原理圖
gunRifleT3SniperRifle,items,Gun,,,Sniper Rifle,,Scharfschützengewehr,Rifle de francotirador,Fusil de précision,Fucile da cecchino,スナイパーライフル,저격 라이플,Karabin snajperski,Fuzil de Precisão,Снайперская винтовка,Keskin Nişancı Tüfeği,狙击步枪,狙擊步槍
gunRifleT3SniperRifleDesc,items,Gun,,,"This high precision, long ranged rifle is perfect for sniping enemies at great distances.\n\nRepair with a Repair Kit.\nScrap to Rifle parts.",,"Dieses hochpräzise Gewehr mit großer Reichweite eignet sich perfekt, um Gegner aus großer Entfernungen zu treffen.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Gewehrteilen zerlegt werden.",Este rifle de alta precisión y largo alcance es perfecto para apuntar a enemigos a grandes distancias.\n\nSe repara con un kit de reparación.\nDesguázalo para obtener partes de rifle,Ce fusil longue portée de haute précision est idéal pour tirer sur des ennemis très éloignés.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces de fusil.,Questo fucile ad alta precisione e lungo raggio è perfetto per eliminare i nemici a grande distanza.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per fucile.,この高い精密性を持った遠距離ライフルは、遠くから敵を狙うのに最適です。\n\n修理キットで修理可能。\n解体するとライフルパーツに。,"높은 명중률의 원거리 라이플로, 적을 멀리서 저격하는 데 이상적입니다.\n\n수리 키트로 수리할 수 있습니다.\n라이플 부품으로 분해됩니다.",Ten precyzyjny karabin dalekiego zasięgu jest idealny do zdejmowania wrogów z dużej odległości.\n\nNaprawisz zestawem naprawczym.\nZezłomowanie zapewni części karabinu.,Este fuzil de longo alcance e alta precisão é perfeito para alvejar inimigos a grandes distâncias.\n\nRepare com um kit de reparos.\nRecicle para obter peças de rifle.,Высокоточная винтовка с большой дальностью стрельбы идеальна для уничтожения противника с дистанции.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части винтовки.,"Bu yüksek hassasiyete sahip uzun menzili tüfek, uzak mesafelerden düşmanları avlamak için harikadır.\n\nOnarım Kitiyle onar.\nHurdaya çıkardığında Tüfek parçaları elde edersin.",这种高精度的远程步枪非常适合远距离狙击敌人。\n\n可使用维修工具修理。\n可分解为步枪零件。,這支高精準度的長程步槍非常適合狙擊遠距離的敵人。\n\n用維修工具包維修。\n報廢步槍零件。
gunRifleT3SniperRifleSchematic,items,Gun,,,Sniper Rifle Schematic,,Bauplan – Scharfschützengewehr,Esquema de rifle de francotirador,Schéma de fusil de précision,Schema del fucile da cecchino,設計図「スナイパーライフル」,저격 라이플 도면,Karabin snajperski — schemat,Diagrama de Fuzil de Precisão,Схема снайперской винтовки,Keskin Nişancı Tüfeği Şeması,狙击步枪设计图,狙擊步槍原理圖
gunShotgunT0PipeShotgun,items,Gun,,,Pipe Shotgun,,Selbstgebaute Schrotflinte,Escopeta de tubería,Fusil à pompe en tuyau,Fucile tubolare,パイプショットガン,파이프 샷건,Strzelba rurowa,Espingarda de cano,Дробовик из трубы,Boru Pompalı Tüfek,铁管霰弹枪,鐵管散彈槍
gunShotgunT0PipeShotgunDesc,items,Gun,,,A home-made gun firing shotgun shells.\nEffective at very close ranges.\n\nRepair with Short Iron Pipe.\nScrap to Iron.,,"Eine selbstgebaute Waffe, die mit Schrotflinten-Patronen schießt.\nAuf sehr kurze Entfernung effektiv.\n\nKann mit einem kurzem Eisenrohr repariert werden.\nKann zu Eisen zerlegt werden.",Un arma casera que dispara cartuchos de escopeta.\n\nEficaz a distancias muy cortas.\n\nSe repara con una tubería de hierro corta.\nDesguázala para obtener hierro.,Un fusil fait maison tirant des cartouches de fusil à pompe.\nEfficace sur de très courtes distances.\n\nPeut être réparé avec un petit tuyau en fer.\nSe recycle en fer.,Una pistola artigianale che spara bossoli di fucile.\n\nEfficace a cortissimo raggio.\n\nSi ripara con il tubo di ferro corto.\nLa rottamazione produce ferro.,ショットガン用シェルを発射する手作りのライフル。\n超近距離で効果的です。\n\n鉄パイプ（ショート）で修理します。\n解体すると鉄に。,집에서 제작한 샷건입니다.\n근거리에서 매우 효율적입니다.\n\n짧은 철관으로 수리할 수 있습니다.\n철로 분해됩니다.,"Domowej roboty strzelba strzelająca nabojami do strzelby\nSkuteczna na bardzo krótkim zasięgu.\n\nNaprawiaj za pomocą krótkiej żelaznej rury.\nZezłomuj, by uzyskać żelazo.",Arma caseira que dispara balas de espingarda.\nEficaz quando usada de muito perto.\n\nConserte com cano de ferro curto.\nRecicle para obter ferro.,Самодельное ружье под патроны для дробовика.\nЭффективно на очень близких дистанциях.\n\nРемонтируется с помощью короткой железной трубы.\nРазбирается на железо.,Pompalı tüfek fişeği kullanan ev yapımı silah.\nYakın mesafelerde etkilidir.\n\nKısa Demir Boru ile onarılır.\nHurdaya çıkardığında Demir elde edersin.,发射霰弹弹药的自制枪。\n在极近距离内相当有效。\n\n可使用短铁管修理。\n可分解为铁。,發射散彈彈藥的自製槍。\n在極近距離射擊相當有效。\n\n用短鐵管修理。\n報廢為鐵。
gunShotgunT1DoubleBarrel,items,Gun,,,Double Barrel Shotgun,,Doppelläufige Schrotflinte,Escopeta de dos cañones,Fusil à pompe à double canon,Doppietta,2連ショットガン,2연발 샷건,Dwururka,Espingarda de cano duplo,Двустволка,Çift Namlulu Pompalı Tüfek,双管霰弹枪,雙管散彈獵槍
gunShotgunT1DoubleBarrelDesc,items,Gun,,,"A rusty old double barrel shotgun, great for close range carnage.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.",,"Eine alte, rostige, doppelläufige Schrotflinte. Eignet sich gut für Nahkampfgemetzel.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Schrotflintenteilen zerlegt werden.","Una antigua y oxidada escopeta de dos cañones, estupenda para una carnicería a poca distancia.\n\n\nSe repara con un kit de reparación. Desguázala para obtener partes de escopeta.",Un vieux fusil à pompe à double canon rouillé parfait pour faire un carnage à courte distance.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces de fusil à pompe.,"Una vecchia doppietta arrugginita, perfetta per i massacri a distanze ravvicinate.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per fucile.",錆びついて古くなった2連ショットガンです。近距離での皆殺しにピッタリ。\n\n修理キットで修理可能。\n解体するとショットガンパーツに。,낡고 녹슨 2연발 샷건으로 근거리에 있는 적을 학살하는 데 효과적입니다.\n\n수리 키트로 수리할 수 있습니다.\n샷건 부품으로 분해됩니다.,Zardzewiała strzelba o dwóch lufach siejąca śmierć i zniszczenie na krótkim dystansie.\n\nPrzedmiot naprawisz zestawem naprawczym.\nZ przedmiotu odzyskasz części strzelby.,"Uma espingarda de cano duplo velha e enferrujada, ótima para carnificina a curta distância.\n\nConserte com kit de reparos.\nRecicle para obter peças de espingarda.",Старая ржавая двустволка идеальна для кровопролития на коротких дистанциях.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части дробовика.,"Paslanmış, esik bir çift namlulu pompalı tüfek. Yakın menzilde katliam yapmak için birebir.\n\nOnarım Kitiyle onar.\nHurdaya çıkararak Pompalı Tüfek parçaları elde et.",锈迹斑斑的旧式双管霰弹枪，非常适合短距离屠杀。\n\n可使用维修工具修理。\n可分解为霰弹枪零件。,一把生鏽的舊式雙管散彈獵槍，非常適合近距離屠殺。\n\n使用維修工具包維修。\n散彈獵槍部件報廢。
gunShotgunT1DoubleBarrelParts,items,Gun,,,Shotgun Parts,,Schrotflintenteile,Partes de escopeta,Pièces de fusil à pompe,Parti per fucile,ショットガンパーツ,샷건 부품,Części strzelby,Peças de espingarda,Части дробовика,Pompalı Parçaları,霰弹枪零件,散彈獵槍部件
gunShotgunT1DoubleBarrelSchematic,items,Gun,,,Double Barrel Shotgun Schematic,,Bauplan – Doppelläufige Schrotflinte,Esquema de escopeta de dos cañones,Schéma de fusil à pompe à double canon,Schema della doppietta,設計図「2連ショットガン」,2연발 샷건 도면,Dwururka — schemat,Diagrama de Espingarda de Cano Duplo,Схема двустволки,Çift Namlulu Pompalı Tüfek Şeması,双管霰弹枪设计图,雙管散彈獵槍原理圖
gunShotgunT2PumpShotgun,items,Gun,,,Pump Shotgun,,Pumpgun,Escopeta de bombeo,Fusil à percussion,Fucile a pompa,ポンプアクション式ショットガン,펌프식 샷건,Pompka,Espingarda de ação bomba,Помповое ружье,Pompalı Tüfek,泵动式霰弹枪,泵動式散彈獵槍
gunShotgunT2PumpShotgunDesc,items,Gun,,,A long-barreled shotgun with pump action loading .\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,Eine langläufige Schrotflinte mit Pumpgun-Lademechanik.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Schrotflintenteilen zerlegt werden.,Una escopeta de cañón largo que se recarga con acción de bombeo.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de escopeta.,Un fusil à pompe à canon long avec mécanisme de rechargement à pompe.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces de fusil à pompe.,Un fucile a canna lunga con ricarica a pompa.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per fucile.,ポンプアクション式で装填する銃身の長いショットガンです。\n\n修理キットで修理可能。\n解体するとショットガンパーツに。,총열이 긴 샷건으로 펌프 액션 장전을 사용합니다.\n\n수리 키트로 수리할 수 있습니다.\n샷건 부품으로 분해됩니다.,Strzelba o długiej lufie i z przeładowaniem na pompkę.\n\nNaprawisz zestawem naprawczym.\nZezłomowanie zapewni części strzelby.,Uma espingarda de cano longo que usa cartuchos de munição.\n\nConserte com kit de reparos.\nRecicle para obter peças de espingarda.,Длинноствольный помповый дробовик.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части дробовика.,Pompalı mekanizmasına sahip uzun namlulu bir pompalı tüfek.\n\nOnarım Kitiyle onar.\nHurdaya çıkararak Pompalı Tüfek Parçaları elde et.,长管霰弹枪，使用泵装填子弹。\n\n可使用维修工具修理。\n可分解为霰弹枪零件。,一把長管散彈獵槍，使用泵動式裝彈。\n\n使用維修工具包維修。\n報廢散彈獵槍零件。
gunShotgunT2PumpShotgunSchematic,items,Gun,,,Pump Shotgun Schematic,,Bauplan – Pumpgun,Esquema de escopeta de bombeo,Schéma de fusil à percussion,Schema del fucile a pompa,設計図「ポンプアクション式ショットガン」,펌프식 샷건 도면,Pompka — schemat,Diagrama de Espingarda de Ação Bomba,Схема помпового ружья,Pompalı Tüfek Şeması,泵动式霰弹枪设计图,泵動式散彈獵槍原理圖
gunShotgunT3AutoShotgun,items,Gun,,,Auto Shotgun,,Automatische Schrotflinte,Escopeta automática,Fusil à pompe auto,Fucile automatico,オートショットガン,자동 샷건,Strzelba samopowtarzalna,Espingarda Automática,Автоматический дробовик,Otomatik Pompalı Tüfek,自动霰弹枪,自動式散彈獵槍
gunShotgunT3AutoShotgunDesc,items,Gun,,,This semi automatic shotgun is a rare and devastating short range weapon capable of making minced meat out of anything in its path.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,,"Diese halbautomatische Schrotflinte ist eine seltene und verheerende Waffe mit kurzer Reichweite, die aus allem, was sich ihr in den Weg stellt, Hackfleisch machen kann.\n\nKann mit einem Reparaturkit repariert werden.\nKann zu Schrotflintenteilen zerlegt werden.",Esta escopeta semiautomática es un arma rara y devastadora de corto alcance capaz de convertir en carne picada cualquier cosa que se le cruce.\n\nSe repara con un kit de reparación.\nDesguázala para obtener partes de escopeta.,"Le fusil à pompe semi-automatique est un fusil à pompe rare et dévastateur, capable de réduire en bouillie tout ce qui se trouve sur son chemin.\n\nSe répare avec un kit de réparation.\nSe recycle en pièces de fusil à pompe.","Questo fucile semiautomatico è un'arma a corto raggio rara e devastante, capace di trasformare in carne da macello qualsiasi cosa sul suo cammino.\n\nSi ripara con la cassetta degli attrezzi.\nLa rottamazione produce parti per fucile.",このセミオートショットガンは、その進路上にあるものすべてをひき肉にすることができる破滅的で珍しい近距離武器です。\n\n修理キットで修理可能。\n解体するとショットガンパーツに。,"반자동 샷건으로, 눈앞에 있는 것을 다진 고기로 만들 수 있는 희귀한 근거리 무기입니다.\n\n수리 키트로 수리할 수 있습니다.\n샷건 부품으로 분해됩니다.","Ta strzelba samopowtarzalna to rzadka, niszczycielska broń krótkiego zasięgu, potrafiąca przerobić na mielonkę wszystko na jej drodze.\n\nNaprawisz zestawem naprawczym.\nZezłomowanie zapewni części strzelby.",Esta espingarda semiautomática é uma arma rara e devastadora de curto alcance capaz de fazer picadinho de qualquer coisa no caminho.\n\nConserte com o kit de reparos.\nRecicle para obter peças de espingarda.,"Полуавтоматический дробовик — редкое и разрушительное на коротких дистанциях оружие, способное превратить в фарш всё на своем пути.\n\nРемонтируется с помощью ремонтного набора.\nРазбирается на части дробовика.","Bu yarı otomatik pompalı tüfek önüne çıkan her şeyi paramparça edebilen, nadir bulunan ve yıkıcı bir kısa menzilli silahtır.\n\nOnarım Kitiyle onar.\nHurdaya çıkardığında Pompalı Parçaları elde edersin.",这种半自动霰弹枪是一种罕见而致命的近距离武器，它能把射程内的任何东西打成肉酱。\n\n可使用维修工具修理。\n可分解为霰弹枪零件。,這款半自動散彈獵槍很稀有，是致命的短程武器，在它射程範圍內的所有東西都會變成一灘碎肉。\n\n維修需使用維修工具包。\n報廢為散彈獵槍零件。
gunShotgunT3AutoShotgunSchematic,items,Gun,,,Auto Shotgun Schematic,,Bauplan – Automatische Schrotflinte,Esquema de escopeta automática,Schéma de fusil à pompe auto,Schema del fucile automatico,設計図「オートショットガン」,자동 샷건 도면,Strzelba samopowtarzalna — schemat,Diagrama de espingarda automática,Схема автоматического дробовика,Otomatik Pompalı Tüfek Şeması,自动霰弹枪设计图,自動式散彈獵槍原理圖
handgunsSkillMagazine,items,Gun,,,Handgun Magazine,,Handgun Magazine,Revista de armas cortas,Magazine des armes de poing,Rivista sulle pistole,ハンドガンマガジン,권총 잡지,Krótko o Broni Krótkiej,Minha Arma Curta,Короткоствол,Tabanca Dergisi,手枪弹匣,《手槍雜誌》
handgunsSkillMagazineDesc,items,Gun,,,"Do you feel lucky? Well, luck is for losers! Be prepared and learn how to craft your own handguns.\n\nImproves handgun crafting skill.",,"Fühlst du dich glücklich? Glück ist etwas für Verlierer! Bereite dich vor und erfahre, wie du deine eigenen Handfeuerwaffen fertigst.\n\nVerbessert die Fertigkeit zur Fertigung von Handfeuerwaffen.","¿Te sientes con suerte? Bueno, ¡la suerte es para los perdedores! Prepárate y aprende a fabricar tus propias armas cortas.\n\nMejora la habilidad de fabricación de armas cortas.","Vous pensez que la chance est de votre côté ? Eh ben, la chance, c'est pour les perdants ! Préparez-vous comme il faut et apprenez à fabriquer vos propres armes de poing.\n\nAméliore les compétences de fabrication d'armes de poing.","Senti di avere fortuna? Beh, la fortuna è per gli sfigati! Preparati e scopri come creare le tue pistole.\n\nMigliora le abilità di creazione delle pistole.",あなたは運がいいと思いますか？まあ、運は負け組のものです！自分だけのハンドガンを作る方法を学んで、準備しよう。\n\nハンドガンのクラフトスキルを向上させます。,운이 좋으신가요? 운은 패배자들을 위한 것이죠! 나만의 권총을 만드는 법을 배울 준비하세요.\n\n권총 제작 스킬을 향상시킵니다.,Masz się za szczęściarza? Szczęście jest dla frajerów! Zadbaj o siebie i naucz się wytwarzać własne pistolety.\n\nRozwija umiejętność wytwarzania broni krótkiej.,"Está com sorte? Ora, sorte é para perdedores! Aprenda a fabricar suas próprias armas curtas e esteja sempre preparado.\n\nMelhora a habilidade de fabricação de arma curta.",Вы удачливы? Удача для слабаков! Не теряйте бдительности и научитесь самостоятельно делать пистолеты.\n\nУлучшает навык изготовления пистолетов.,Kendini şanslı mı hissediyorsun? Şans kaybedenlerin lafıdır! Hazırlan ve kendi tabancalarını üretmeyi öğren.\n\nTabanca üretme becerisini geliştirir.,你觉得自己幸运吗？呵呵，只有废物才靠运气！学习如何制作自己的手枪，让自己胸有成竹。\n\n提高手枪的制作技能。,今天真走運？哈，只有魯蛇才需要碰運氣！做好準備，跟我們一起學習如何製作自己的手槍吧。\n\n增進手槍製作技能。
machineGunsSkillMagazine,items,Gun,,,Tactical Warfare,,Tactical Warfare,Guerra táctica,Équipement tactique,Guerra tattica,タクティカル・ウォーフェア,전술적 전쟁,Taktyka Wojenna,Táticas de Guerra,Тактическое оружие,Taktik Savaş,战备竞赛,《戰爭謀略》
machineGunsSkillMagazineDesc,items,Gun,,,Check out the latest assault rifles on the market and even learn how to build your own from common household items!\n\nImproves assault rifle crafting skill.,,"Sieh dir die neuesten Sturmgewehre auf dem Markt an und erfahre sogar, wie du aus gewöhnlichen Haushaltsgegenständen dein eigenes fertigen kannst!\n\nVerbessert die Fertigkeit zur Fertigung von Sturmgewehren.",¡Échales un vistazo a los últimos rifles de asalto del mercado e incluso aprende a fabricar el tuyo con objetos que puedes encontrar en tu casa!\n\nMejora la habilidad de fabricación de rifles de asalto.,Découvrez les nouveaux fusils d'assaut du marché et apprenez même à construire le vôtre à partir d'objets du quotidien !\n\nAméliore les compétences de fabrication de fusils d'assaut.,Dai un'occhiata all'ultimo fucile d'assalto sul mercato e scopri come costruirne uno tuo usando degli oggetti di casa comuni!\n\nMigliora le abilità di creazione dei fucili d'assalto.,最新のマシンガンをチェック！一般的な家庭用品から自作する方法もご紹介！\n\nマシンガンのクラフトスキルを向上させます。,시장의 최신 돌격 라이플을 확인하고 가정용 제품을 직접 만드는 법도 배워 보세요!\n\n라이플 제작 스킬을 향상시킵니다.,"Zapoznaj się z nowościami na rynku karabinów automatycznych, a nawet naucz się montować własny z rzeczy, które każdy ma pod ręką!\n\nRozwija umiejętność wytwarzania karabinów automatycznych.",Confira os últimos fuzis de assalto do mercado e aprenda até a fabricar o seu próprio fuzil com itens de casa!\n\nMelhora a habilidade de fabricação de fuzis.,Ознакомьтесь с новейшими штурмовыми винтовками современного рынка и научитесь делать собственные винтовки из обычных бытовых материалов!\n\nУлучшает навык изготовления штурмовых винтовок.,Piyasadaki en yeni saldırı tüfeklerini incele ve hatta evindeki malzemelerle kendi tüfeğini üretmeyi öğren!\n\nSaldırı tüfeği üretme becerisini geliştirir.,了解市面上最新款的突击步枪，甚至可以学习如何用常见的家用物品制作自己的突击步枪！\n\n提高突击步枪的制作技能。,《戰爭謀略》帶你了解最新上市的突擊步槍，並教你一步步用日常物品打造自製步槍！\n\n增進突擊步槍製作技能。
riflesSkillMagazine,items,Gun,,,Rifle World,,Rifle World,El mundo de los rifles,Fan de fusils,Mondo dei fucili di precisione,ライフルの世界,라이플 월드,Świat Karabinów,Mundo dos Fuzis,Мир винтовок,Tüfek Dünyası,步枪世界,《步槍世界》
riflesSkillMagazineDesc,items,Gun,,,Check out vintage and modern hunting rifles in this amazing issue of Rifle World.\n\nImproves rifle crafting skill.,,Sieh dir in dieser fantastischen Ausgabe von „Rifle World“ alte und moderne Jagdgewehre an.\n\nVerbessert die Fertigkeit zur Fertigung von Gewehren.,Échales un vistazo a los rifles de caza antiguos y modernos en esta increíble edición de El mundo de los rifles.\n\nMejora la habilidad de fabricación de rifles.,Découvrez les fusils de chasse ancienne et nouvelle génération dans ce dernier numéro de Fan de fusils.\n\nAméliore les compétences de fabrication de fusils de chasse.,Dai un'occhiata ai fucili da caccia vintage e moderni in questo magnifico volume di Mondo dei fucili di precisione.\n\nMigliora le abilità di creazione dei fucili da precisione.,ライフルの世界のこの素晴らしい号で、ヴィンテージと現代の狩猟用ライフルをチェックしよう。\n\nライフルのクラフトスキルを向上させます。,라이플 월드의 이번 호에서 구식 그리고 현대식 사냥용 라이플을 확인하세요.\n\n라이플 제작 스킬을 향상시킵니다.,Dowiedz się wszystkiego o klasycznych i nowoczesnych sztucerach z tego pasjonującego wydania „Świata karabinów”.\n\nRozwija umiejętność wytwarzania karabinów.,"Confira rifles de caça modernos e retrô, nesta edição de Mundo dos Fuzis.\n\nMelhora a habilidade de fabricação de fuzis.",Зацените классические и современные охотничьи винтовки в этом замечательном выпуске журнала «Мир винтовок».\n\nУлучшает навык изготовления винтовок.,Tüfek Dünyasının bu muhteşem sayısında eski ve modern av tüfeklerini keşfet.\n\nTüfek üretme becerisini geliştirir.,快来这期精彩的《步枪世界》欣赏经典款和现代款猎枪。\n\n提高步枪的制作技能。,本期《步槍世界》雜誌內含古董及現代狩獵步槍的詳細解析。\n\n增進步槍製作技能。
shotgunsSkillMagazine,items,Gun,,,Shotgun Weekly,,Shotgun Weekly,Semanario de escopetas,Hebdo des fusils à pompe,Settimanale sui fucili,週刊ショットガン,주간 샷건,Tygodnik „Strzelby”,Espingarda Semanal,Еженедельная дробь,Haftalık Pompalı Tüfek,霰弹枪周刊,《散彈獵槍週刊》
