perkFortitudeMasteryDesc,progression,perk For,,,Master Fortitude Skills,,Meisterhafte Fertigkeiten der Standhaftigkeit,Domina las habilidades de fortaleza.,Maîtrisez les compétences de courage.,Padroneggia le abilità di resilienza,忍耐スキルをマスターします,불굴의 정신 스킬 마스터,Umiejętności mistrzostwa hartu,Domine as habilidades de Robustez.,Освойте навыки стойкости,Uzman Dayanma Becerileri,强健技能大师,精通所有堅韌技能
perkTheHuntsmanRank5Desc,progression,perk For,,,The Huntsman,,Der Jägersmann,El cazador,Le chasseur,Il cacciatore,狩人,타고난 사냥꾼,Traper,O Caçador,Охотник,Av Adamı,狩猎者,獵人
perkTheHuntsmanRank5LongDesc,progression,perk For,,,You are a true mountain man and let nothing go to waste. Harvest 100% more resources from animals using any bladed tool or weapon.,,Du bist ein wahrer Mann der Wildnis und lässt nichts verkommen. Sammle mit Werkzeugen und Waffen mit einer Schneide 100 % mehr Rohstoffe von Tieren.,Eres un verdadero hombre de montaña y no dejas que nada se desperdicie. Cosecha un 100 % más de recursos de los animales utilizando cualquier herramienta o arma con filo.,"Vous êtes un vrai montagnard. Avec vous, rien ne se jette. Utiliser des outils tranchants ou des armes sur des animaux vous octroie 100 % de ressources supplémentaires.",Sei un vero uomo di montagna e non sprechi nulla. Raccogli il 100% di risorse in più dagli animali usando qualsiasi oggetto con una lama o arma.,真の猟師となり、何一つ無駄にすることがなくなりました。動物解体時獲得資源量100%増加。,진정한 산사람이 되었고 사냥감의 어떤 것도 낭비하지 않습니다. 날붙이 도구나 무기를 이용해 동물에서 100% 더 많은 자원을 수확합니다.,"Radzisz sobie nawet w górach, a każdą zdobycz wykorzystujesz do cna. Pozyskuj 100% więcej zasobów ze zwierząt, używając narzędzia lub broni z ostrzem.",Você é um verdadeiro homem das montanhas e não desperdiça nada. Colete 100% mais recursos de animais ao usar qualquer ferramenta ou arma cortantes.,"Вы — прирожденный охотник, у вас ничего не пропадет. На 100% повышен сбор ресурсов с животных с помощью инструментов или оружия с лезвием.",Dağ artık evin oldu. Hiçbir şeyi ziyan etmiyorsun. Herhangi bir bıçaklı alet veya silah kullanırken hayvanlardan %100 daha fazla kaynak topla.,你是一名真正的山林之人，你在解剖时不会有一点浪费。使用刀刃工具或武器解刨动物时，能多获得100%资源。,你是一個真正的山裏人，不會浪費任何東西。使用任何有刃的工具或武器增加 100% 的動物資源獲取。
perkWellInsulatedDesc,progression,perk For,,,Specialize in using a combination of clothing and natural resilience to weather even the harshest of environments.,,"Lerne, mit einer Kombination aus Kleidung und natürlicher Abhärtung auch den härtesten Wetterbedingungen zu trotzen.",Especialízate en usar una combinación de ropa y resistencia natural para sobrevivir incluso en los ambientes más hostiles.,"Apprenez à vous vêtir et à améliorer votre résistance naturelle aux intempéries, et ce même dans les environnements les plus hostiles.",Specializzati nel combinare vestiti e resistenza naturale per resistere anche agli ambienti più duri.,衣服と自然の回復力の組み合わせで、過酷な環境にも耐えることに特化します。暑さや寒さへの耐性が上がります。,가장 혹독한 환경에서도 옷과 계절에 대한 자연스러운 회복력을 함께 사용하는 일에 특화되었습니다.,Wyspecjalizuj się w wykorzystywaniu połączenia ubioru i naturalnego talentu radzenia sobie nawet w najtrudniejszych środowiskach.,Especialize-se em usar uma combinação de roupas com resiliência natural para aguentar até os ambientes mais rigorosos.,Научитесь сочетать одежду и естественную сопротивляемость организма и выживать даже в самых суровых условиях.,En zorlu ortamlarda bile kıyafetler ile hava durumuna direncin birleşimini kullanmada ustalaş.,擅于利用衣服与自身的抗性来度过最为恶劣的环境。,擅長結合使用服裝和自然恢復力來抵禦最惡劣的天氣環境。
perkWellInsulatedName,progression,perk For,,,Well Insulated,,Gut isoliert,Bien aislado,Bien isolé,Ben isolato,高断熱性,잘 단열된,Doskonała izolacja,Bem Isolado,Хорошая сопротивляемость,İyi Yalıtımlı,完美隔热,很好的隔絕效果
perkWellInsulatedRank1Desc,progression,perk For,,,Mild Weather Tolerant,,Resistent gegenüber milder Witterung,Tolerancia al clima templado,Habitude du climat tempéré,Tollerante al clima mite,温暖な気候耐性,온화한 날씨 내성,Lekka tolerancja pogodowa,Tolerante a Clima Suave,Сторонник мягкой погоды,Ilıman Hava Toleransı,温和气候耐受力,溫和氣候耐候力
perkWellInsulatedRank1LongDesc,progression,perk For,,,"You like mild weather, but can handle a bit of temperature fluctuation. Gain 10 insulation against heat and cold, and lose 15% less food and water when cold or overheating.",,"Du magst mildes Wetter, kannst aber auch mit kleineren Temperaturschwankungen leben. Gewährt 10 Wärmedämmung gegen Hitze und Kälte, und du verlierst 15 % weniger Nahrung und Wasser, wenn du frierst oder dir zu heiß wird.","Te gusta el clima templado, pero puedes soportar un poco de fluctuación de temperatura. Obtienes 10 de aislamiento contra el calor y contra el frío y pierdes un 15 % menos de comida y agua cuando tienes frío o demasiado calor.","Vous aimez les milieux tempérés, mais pouvez supporter quelques changements de température. Vous gagnez 10 points d'isolation contre le chaud et le froid. Vous perdez 15 % de nourriture et d'eau en moins en cas d'hyperthermie ou d'hypothermie.","Ti piace il clima mite, ma puoi sopportare un piccolo cambio di temperatura. Garantisce 10 isolamento contro caldo e freddo e perdi il 15% in meno di cibo e acqua quando hai freddo o ti surriscaldi.",温暖な気候がお気に入りですが、少々寒暖差があっても対応できます。気温の変化による食料や水分消費ペナルティ15%軽減。暑さと寒さへの耐性が10ずつ上がる。,"당신은 온화한 날씨를 좋아하지만, 약간의 기온 변화에도 대처할 수 있습니다. 열과 추위에 대해 10의 내성을 얻고, 너무 덥거나 추운 경우 음식과 물을 15% 잃습니다.","Lubisz łagodną pogodę, ale wytrzymasz też nieznaczne wahania temperatury. Zyskujesz 10 punktów zabezpieczenia przed ciepłem i zimnem, a także tracisz o 15% mniej wody i żywności, gdy jest ci za zimno lub za gorąco.","Você gosta de um clima suave, mas consegue aguentar um pouco de variação térmica. Concede 10 de isolamento contra o calor e o frio e perca 15% menos comida e água quando no frio ou calor.","Вам по душе мягкая погода, но вы переносите и небольшие колебания температуры. Вы получаете 10 ед. сопротивления жаре и холоду, теряете на 15% меньше еды и воды при переохлаждении или перегреве.",Ilıman hava tam sana göre olsa da küçük değişimlere uyum sağlayabiliyorsun. Hem sıcağa hem soğuğa karşı 10 yalıtım kazan ve donduğunda veya fazla ısındığında %15 daha az gıda ve su kaybet.,你喜欢温和的气候，不过能应付小规模的温度浮动。获得 10 点隔热防寒能力，寒冷和过热时，食物和水的损失减少 15%。,你喜歡溫和的天氣，但也能應付輕微的溫度波動。獲得10點隔熱保冷能力，當寒冷或過熱時，食物與水的損失減少15%。
perkWellInsulatedRank2Desc,progression,perk For,,,Intense Weather Resistant,,Resistent gegenüber intensiver Witterung,Resistente a las inclemencias climáticas,Résistance aux climats difficiles,Resistente al clima intenso,過酷な天候耐性,강렬한 날씨 내성,Porządna odporność pogodowa,Resistente a Clima Intenso,Привыкший к суровой погоде,Şiddetli Hava Direnci,恶劣气候耐受力,強烈氣候耐候力
perkWellInsulatedRank2LongDesc,progression,perk For,,,You are resistant to some pretty intense weather and lose 30% less food and water when cold or overheating. Grants 20 insulation against both heat and cold.,,"Du bist resistent gegen ziemlich intensive Witterungsbedingungen und verlierst 30 % weniger Nahrung und Wasser, wenn du frierst oder dir zu heiß ist. Gewährt 20 Wärmedämmung gegen Hitze und Kälte.",Eres resistente al clima muy intenso y pierdes un 30 % menos de comida y agua cuando tienes frío o demasiado calor. Obtienes 20 de aislamiento contra el calor y contra el frío.,Vous êtes capable de résister aux conditions météorologiques difficiles. Octroie 20 points d'isolation contre le chaud et le froid. Vous perdez 30 % de nourriture et d'eau en moins en cas d'hyperthermie ou d'hypothermie.,Resisti a climi piuttosto intensi e perdi il 30% in meno di cibo e acqua quando hai freddo o ti surriscaldi. Garantisce 20 isolamento contro caldo e freddo.,かなり過酷な天候にも耐えられます。気温の変化による食料や水分消費ペナルティ30%軽減。暑さと寒さへの耐性が20ずつ上がる。,"제법 강렬한 날씨에도 내성이 생겼습니다. 열과 추위에 대해 20의 내성을 얻고, 너무 덥거나 추운 경우 음식과 물을 30% 잃습니다.","Masz odporność na całkiem surową pogodę i tracisz o 30% mniej wody i żywności, gdy jest ci za zimno lub za gorąco. Zyskujesz 20 punktów zabezpieczenia przed ciepłem i zimnem.",Você é resistente a um clima bastante intenso e perde 30% menor comida e água quando no frio ou calor. Concede 20 de isolamento contra o calor e o frio.,Вы устойчивы к довольно суровым проявлениям погоды и теряете на 30% меньше еды и воды при переохлаждении и перегреве. Обеспечивает 20 ед. сопротивления жаре и холоду.,Biraz şiddetli hava koşullarına karşı dirençlisin ve donduğunda veya fazla ısındığında %30 daha az gıda ve su kaybedersin. Hem sıcağa hem soğuğa karşı 20 yalıtım verir.,你可以耐受某些相当恶劣的气候，寒冷和过热时，食物和水的损失减少 30%。提供 20 点隔热防寒能力。,你頗能抵擋劇烈的天氣，當寒冷或過熱時，食物與水的損失減少30%。獲得20點隔熱保冷能力。
perkWellInsulatedRank3Desc,progression,perk For,,,Extremely Weather Hardened,,Resistent gegenüber extremer Witterung,Extremadamente inmune a los elementos,Préparation aux climats extrêmes,Indurito dal clima estremo,過酷な天候に鍛えられた,극단적 날씨 내성,Ekstremalna wytrzymałość pogodowa,Aclimatado ao Clima Extremo,Всякая погода благодать,Hava Koşullarına Son Derece Dayanıklı,极端气候耐受力,極端氣候不動如山
perkWellInsulatedRank3LongDesc,progression,perk For,,,You can now handle severe weather and typically could care less what the weather conditions are. You will never have the more severe stages of temperature status effects.,,"Du kannst jetzt mit extremen Unwettern umgehen, und es ist dir ziemlich egal, wie die Witterungsbedingungen sind. Du wirst niemals die schwereren Stufen der Temperatur-Statuseffekte erleiden.","Ahora puedes soportar el clima extremadamente intenso y, en general, no te importan las condiciones climáticas. Nunca sufrirás las etapas más graves de los efectos del estado por temperatura.","Vous êtes désormais capable de résister aux climats extrêmes, les conditions météorologiques ne vous affectent pas. Vous ne subissez plus les effets de statut les plus graves liés aux températures.",Adesso riesci a sopportare anche il clima più estremo e non ti importa se fa caldo o freddo. Non subirai più gli effetti distruttivi della temperatura.,これからは過酷な天候にも対応でき、どんな天候でもほとんどお構いなし。気温の変化による重度なデバフがつかなくなる。,어떤 날씨에도 견딜 수 있으며 이제 날씨 따위 아무래도 좋습니다. 뜨겁든 춥든 온도의 영향을 받지 않습니다.,"Potrafisz sobie teraz poradzić w naprawdę trudnych warunkach i właściwie nie interesuje cię, jaka panuje pogoda. Nigdy nie pojawią się u ciebie najostrzejsze etapy efektów stanu temperatury.","Agora, você aguenta climas extremos e não se importa com as condições climáticas. Quem precisa de previsão do clima? Você nunca sofrerá com os efeitos de status de temperatura mais severos.",Теперь вы хорошо переносите жесткую погоду и в целом можете меньше беспокоиться о погодных условиях. Вы никогда не получите серьезные степени температурных эффектов состояния.,Son derece ağır hava koşullarını kaldırabiliyorsun ve tipik olarak hava koşullarının nasıl olduğu umurunda değil. Sıcaklık durum etkilerinin daha ciddi aşamalarından asla etkilenmezsin.,你可以耐受极端恶劣的气候，通常不太关心天气状况。再也不会有更恶劣的气温状况影响你。,現在你可以應付惡劣天氣，根本不必擔心天氣狀況如何。您將不再經歷影響最嚴重的溫度狀態階段。
perkLightArmorDesc,progression,perk Gen,,,Specialize in light armor to reduce degradation use.\nBoost loot odds of [DECEA3]Armored Up[-] magazines.,,"Spezialisiere dich auf leichte Rüstung, um ihre Abnutzung zu verringern.\nErhöht die Chance, [DECEA3]„Armored Up“[-]-Magazine zu erbeuten.",Especialízate en armadura ligera para reducir el desgaste.\nAumenta la probabilidad de encontrar revistas [DECEA3]Armado hasta los dientes[-] en el botín.,Spécialisez-vous dans le port d'armures légères afin de réduire leur vitesse d'usure.\nAméliorez les chances d'obtenir des magazines [DECEA3]Comment se blinder[-].,Specializzati nell'armatura leggera per ridurre l'usura dovuta all'uso.\nAumenta le probabilità di bottino delle riviste [DECEA3]Corazzati[-].,ライトアーマーに特化し、耐久値減少率を軽減します。\n[DECEA3]アーマーアップ[-]の雑誌略奪率が上がります。,경갑옷에 특화되어 가치 저하 속도가 감소합니다.\n약탈품에서 [DECEA3]방어구 착용[-] 잡지 획득 확률이 증가합니다.,"Wyspecjalizuj się w walce w lekkim pancerzu, aby zmniejszyć jego zużycie.\nZwiększ szanse łupu: czasopisma [DECEA3]„Świat Pancerza”[-].",Especialize-se em armaduras leves para reduzir o desgaste.\nAumenta as chances de saque da revista [DECEA3]Blindagens e Cia.[-],"Специализируйтесь на легкой броне, чтобы замедлить ее изнашивание.\nПовышает шансы найти в добыче журналы [DECEA3]Мастер-бронник[-].",Aşınma ve yıpranmayı azaltmak için hafif zırhlarda uzmanlaş.\n[DECEA3]Zırh Korumalı[-] dergilerinin ganimet şansını artırır.,专精轻甲，降低损坏。\n提高搜刮到[DECEA3]《全副武装》[-]杂志的几率。,專精於輕甲以降低耐久度消耗。\n提升[DECEA3]《全副武裝》[-]雜誌的掉落機率。
perkLightArmorName,progression,perk Gen,,,Light Armor,,Leichte Rüstung,Armadura ligera,Armure légère,Armatura leggera,ライトアーマー,경갑옷,Lekki pancerz,Armadura leve,Легкая броня,Hafif Zırh,轻甲,輕甲
perkLightArmorRank1Desc,progression,perk Gen,,,Delicate,,Delikat,Delicada,Fragile,Delicata,デリケート,섬세함,Delikatny,Delicada,Изящество,Narin,精致,脆弱
perkLightArmorRank1LongDesc,progression,perk Gen,,,"Can withstand some stress, but requires care.\nReduce durability use by 15%.\nGain +1 Armor Rating for each piece of Light Armor equipped. ",,"Kann etwas Stress aushalten, erfordert aber Pflege.\nVerringert die Abnutzung um 15 %.\nErhalte +1 Rüstungswert für jedes ausgerüstete Teil leichter Rüstung. ","Puede soportar algo de presión, pero requiere cuidados.\nReduce la durabilidad en un 15 %.\nGana +1 de puntaje de armadura por cada pieza de armadura ligera equipada. ","Peut supporter une certaine tension, mais nécessite une certaine prudence.\nRéduit la vitesse de dégradation de 15 %.\nGagne +1 de résistance d'armure pour chaque pièce d'armure légère équipée. ","Può resistere ad alcune pressioni, ma richiede una certa cura.\nRiduce l'utilizzo della durabilità del 15%.\nOttieni +1 di valore armatura per ogni pezzo di armatura leggera equipaggiato. ",多少のストレスには耐えることが出来ますが、気を付ける必要があります。\nアーマーの耐久値減少率が15%軽減されます。\n装備しているライトアーマー１つに付きアーマー値を１上げます。,"스트레스를 어느 정도 견딜 수 있지만, 조심해서 다뤄야 합니다.\n내구도 사용이 15% 감소합니다.\n장착한 각 경갑옷 부품별로 갑옷 등급이 1씩 증가합니다. ","Może wytrzymać pewne naciski, ale wymaga ostrożności.\nZmniejsza zużycie o 15%.\nZyskujesz +1 do poziomu ochrony pancerza za każdy wyposażony element lekkiego pancerza. ","Aguenta alguns golpes, mas requer cuidado.\nReduz em 15% a degradação.\nConcede +1 de taxa de armadura para cada item de armadura leve equipado. ","Кое-что может выдержать, но требует ухода.\nСокращает изнашивание на 15%.\n+1 к рангу брони за каждый надетый предмет легкой брони. ",Bir miktar baskıya dayanabilir ama özenli olmayı gerektirir.\nYıpranmayı %15 azaltır.\nDonanılan her Hafif Zırh parçası başına +1 Zırh Derecesi kazandırır.,可承受一定压力，但需小心使用。\n降低 15% 耐久度消耗。\n每装备一件轻型护甲，获得 +1 护甲值。,能承受一定壓力，但得小心使用。\n耐久度消耗減少 15%。\n每件已裝備的輕甲可獲得 +1 護甲等級。
perkLightArmorRank2Desc,progression,perk Gen,,,Sturdy,,Haltbar,Robusta,Résistante,Robusta,頑丈,튼튼함,Solidny,Resistente,Твердость,Sağlam,坚固,穩固
perkLightArmorRank2LongDesc,progression,perk Gen,,,Holds up well under normal conditions.\nReduce durability use by 30%.\nGain +2 Armor Rating for each piece of Light Armor equipped.,,Hält normalen Bedingungen stand.\nVerringert die Abnutzung um 30 %.\nErhalte +2 Rüstungswert für jedes ausgerüstete Teil leichter Rüstung.,Provee un buen soporte en condiciones normales.\nReduce la durabilidad en un 30 %.\nGana +2 de puntaje de armadura por cada pieza de armadura ligera equipada.,Résiste bien dans des conditions normales.\nRéduit la vitesse de dégradation de 30 %.\nGagne +2 de résistance d'armure pour chaque pièce d'armure légère équipée.,Resiste bene in condizioni normali.\nRiduce l'utilizzo della durabilità del 30%.\nOttieni +2 di valore armatura per ogni pezzo di armatura leggera equipaggiato.,通常の状況下では、よく持ちこたえることができます。\nアーマーの耐久値減少率が30%軽減されます。\n装備しているライトアーマー１つに付きアーマー値を２上げます。,일반적인 상황에서 잘 버팁니다.\n내구도 사용이 30% 감소합니다.\n장착한 각 경갑옷 부품별로 갑옷 등급이 2씩 증가합니다.,Dobrze się trzyma w normalnych warunkach.\nZmniejsza zużycie o 30%.\nZyskujesz +2 do poziomu ochrony pancerza za każdy wyposażony element lekkiego pancerza.,Dura bem sob condições normais.\nReduz em 30% a degradação.\nConcede +2 de taxa de armadura para cada item de armadura leve equipado.,Неплохо держится при обычных условиях.\nСокращает износ при использовании на 30%.\n+2 к рангу брони за каждый надетый предмет легкой брони.,Normal koşullarda iyi dayanır.\nYıpranmayı %30 azaltır.\nDonanılan her Hafif Zırh parçası başına +2 Zırh Derecesi kazandırır.,正常条件下表现良好。\n降低 30% 耐久度消耗。\n每件轻型护甲提供 +2 护甲等级。,在一般情況下表現穩定。\n耐久度消耗減少 30%。\n每件已裝備的輕甲可獲得 +2 護甲等級。
perkLightArmorRank3Desc,progression,perk Gen,,,Reinforced,,Verstärkt,Reforzada,Renforcée,Rinforzata,強固,강화됨,Wzmocniony,Reforçada,Укрепление,Güçlendirilmiş,加固,強化
perkLightArmorRank3LongDesc,progression,perk Gen,,,Strengthened to resist damage.\nReduce durability use by 45%.\nGain +3 Armor Rating for each piece of Light Armor equipped.,,"Verstärkt, um Schaden zu widerstehen.\nVerringert die Abnutzung um 45 %.\nErhalte +3 Rüstungswert für jedes ausgerüstete Teil leichter Rüstung.",Reforzada para resistir el daño.\nReduce la durabilidad en un 45 %.\nGana +3 de puntaje de armadura por cada pieza de armadura ligera equipada.,Renforcée pour résister aux dégâts.\nRéduit la vitesse de dégradation de 45 %.\nGagne +3 de résistance d'armure pour chaque pièce d'armure légère équipée.,Rafforzata per resistere ai danni.\nRiduce l'utilizzo della durabilità del 45%.\nOttieni +3 di valore armatura per ogni pezzo di armatura leggera equipaggiato.,ダメージに耐えるように強化されました。\nアーマーの耐久値減少率が45%軽減されます。\n装備しているライトアーマー１つに付きアーマー値を３上げます。,대미지를 버티기 위해 강화되었습니다.\n내구도 사용이 45% 감소합니다.\n장착한 각 경갑옷 부품별로 갑옷 등급이 3씩 증가합니다.,Wzmocniona odporność na uszkodzenia.\nZmniejsza zużycie o 45%.\nZyskujesz +3 do poziomu ochrony pancerza za każdy wyposażony element lekkiego pancerza.,Fortalecida para resistir ao dano.\nReduz em 45% a degradação.\nConcede +3 de taxa de armadura para cada item de armadura leve equipado.,Укреплена и сопротивляется урону.\nСокращает износ при использовании на 45%.\n+3 к рангу брони за каждый надетый предмет легкой брони.,Hasar almasın diye güçlendirildi.\nYıpranmayı %45 azaltır.\nDonanılan her Hafif Zırh parçası başına +3 Zırh Derecesi kazandırır.,加强结构以抵御伤害。\n降低 45% 耐久度消耗。\n每件轻型护甲提供 +3 护甲等级。,已加強結構以抵抗傷害。\n耐久度消耗減少 45%。\n每件已裝備的輕甲可獲得 +3 護甲等級。
perkLightArmorRank4Desc,progression,perk Gen,,,Battle-Tested,,Kampferprobt,Probada en batalla,À l'épreuve du combat,A prova di battaglia,実践テスト済み,전투 테스트,Sprawdzony w boju,Classe Militar,Проверка боем,Savaşta Denenmiş,实战检验,戰場驗證
perkLightArmorRank4LongDesc,progression,perk Gen,,,Proven to endure extreme conditions.\nReduce durability use by 60%.\nGain +4 Armor Rating for each piece of Light Armor equipped.,,Hat sich in extremen Bedingungen bewiesen.\nVerringert die Abnutzung um 60 %.\nErhalte +4 Rüstungswert für jedes ausgerüstete Teil leichte Rüstung.,Está comprobado que puede soportar condiciones extremas.\nReduce la durabilidad en un 60 %.\nGana +4 de puntaje de armadura por cada pieza de armadura ligera equipada.,A fait ses preuves dans les conditions les plus extrêmes.\nRéduit la vitesse de dégradation de 60 %.\nGagne +4 de résistance d'armure pour chaque pièce d'armure légère équipée.,Collaudata per resistere a condizioni estreme.\nRiduce l'utilizzo della durabilità del 60%.\nOttieni +4 di valore armatura per ogni pezzo di armatura leggera equipaggiato.,過酷な状況にも耐えることが証明されました。\nアーマーの耐久値減少率が60%軽減されます。\n装備しているライトアーマー１つに付きアーマー値を４上げます。,극한 조건을 버텨낼 수 있다는 것이 입증되었습니다.\n내구도 사용이 60% 감소합니다.\n장착한 각 경갑옷 부품별로 갑옷 등급이 4씩 증가합니다.,Sprawdzona odporność na ekstremalne warunki.\nZmniejsza zużycie o 60%.\nZyskujesz +4 do poziomu ochrony pancerza za każdy wyposażony element lekkiego pancerza.,Feita para suportar condições extremas.\nReduz em 60% a degradação.\nConcede +4 de taxa de armadura para cada item de armadura leve equipado.,Проверено на практике: выдерживает даже экстремальные условия.\nСокращает износ при использовании на 60%.\n+4 к рангу брони за каждый надетый предмет легкой брони.,Ekstrem koşullara karşı dayanıklı olduğu kanıtlandı.\nYıpranmayı %60 azaltır.\nDonanılan her Hafif Zırh parçası başına +4 Zırh Derecesi kazandırır.,经验证可承受极端环境。\n降低 60% 耐久度消耗。\n每件轻型护甲提供 +4 护甲等级。,經證實可承受極端條件。\n耐久度消耗減少 60%。\n每件已裝備的輕甲可獲得 +4 護甲等級。
perkAdvancedEngineeringDesc,progression,perk Int,,,"Engineer advanced items faster with reduced costs at workstations. Boost loot odds of [DECEA3]Electrical Traps, Forge Ahead, Handy Land, and Wiring 101[-] magazines.",,"Entwickle fortgeschrittene Gegenstände schneller und mit reduzierten Kosten an Arbeitsstationen. Erhöhe die Beutechance für [DECEA3]Electrical Traps, Forge Ahead, Handy Land und Wiring 101[-]-Zeitschriften.","Fabrica objetos avanzados más rápido con gastos reducidos en las áreas de trabajo. Aumenta la probabilidad de encontrar las revistas [DECEA3]Trampas eléctricas, Manos a la forja, El país de las arregladillas e Introducción al cableado[-] en el botín.","Vous fabriquez des objets d'ingénierie avancée plus rapidement et pour moins cher aux postes de travail. Améliorez les chances d'obtenir des magazines [DECEA3]Pièges électriques, L'univers de la forge, Système D et L'électricité pour débutant[-].","Progetta oggetti avanzati nelle postazioni di lavoro a costi ridotti. Aumenta le probabilità di bottino delle riviste [DECEA3]Trappole elettriche, Fucina per il futuro, Terra dei tuttofare e Cablaggio per principianti[-].",作業場でのクラフトコストを軽減しつつ、高度なアイテムをより素早く作ります。\n[DECEA3]電気トラップ、フォージアヘッド、ハンディランド、ワイヤリング101[-]の雑誌略奪率が上がります。,"작업장에서 고급 아이템을 보다 낮은 비용으로 제작합니다. 전리품에서 [DECEA3]전기 트랩, 대장간 발전, 핸디 랜드, 배선 101[-] 잡지 획득 확률이 증가합니다.","Wytwarzaj zaawansowane przedmioty przy stacjach roboczych szybciej przy mniejszym koszcie. Zwiększ szanse łupu: czasopisma [DECEA3]„Elektryczne Pułapki”, „Kuźnia Przyszłości”, „Złota Rączka” i „Podstawy Elektryki”[-].","Crie itens avançados mais rapidamente e com custos melhores nas estações de trabalho. Aumenta a chance de saque das revistas [DECEA3]Armadilhas Elétricas, Forja e Cia., Terra das Ferramentas e Fiação Básica[-].","Быстрее и с меньшими затратами проектируйте продвинутые предметы на рабочих станциях. Повышает шансы найти в добыче журналы [DECEA3]«Электроловушки», «Кузнец своего счастья», «На все руки мастер» и «Я электрик»[-].","Çalışma istasyonlarında daha düşük maliyetlerle ve daha hızlı bir şekilde gelişmiş öğeler tasarla. [DECEA3]Elektrikli Tuzaklar, Demirci Dünyası ve Kablolama 101[-] dergilerinin ganimet şansını artırır.",在工作站以更低的成本加速制造高级物品。提高搜刮到[DECEA3]《电力陷阱》、《锻造指南》《巧手之家》《布线 101》[-]杂志的概率。,在工作站製作高級物品的速度增加、成本降低。提升[DECEA3]《電力陷阱》、《熔爐再進化》、《巧手園地》和《線路大全》[-]雜誌的掉落機率。
perkAdvancedEngineeringName,progression,perk Int,,,Advanced Engineering,,Fortgeschrittener Ingenieur,Ingeniería avanzada,Ingénierie avancée,Ingegneria avanzata,高度エンジニアリング,고급 공학 기술,Zaawansowany inżynier,Engenharia avançada,Продвинутое проектирование,Gelişmiş Mühendislik,高级工程师,高級工程
perkAdvancedEngineeringRank1Desc,progression,perk Int,,,Apprentice,,Lehrling,Aprendiz,Apprentissage,Apprendista,見習い,견습생,Początkujący inżynier,Aprendiz,Подмастерье,Çırak,学徒,學徒
perkAdvancedEngineeringRank1LongDesc,progression,perk Int,,,You are now out of the stone age and an apprentice Engineer!\nGain 15% XP from electrical trap kills.\nItems craft 20% faster at the forge.\nCraft glue cheaper.,,Du hast die Steinzeit hinter dir gelassen und bist ein Ingenieurlehrling!\nErhalte 15 % EP für Tötungen mit elektrischen Fallen.\nGegenstände werden in der Schmiede 20 % schneller hergestellt.\nStelle Kleber günstiger her.,¡Ahora saliste de la edad de piedra y estás aprendiendo ingeniería!\nObtén un 15 % de EXP de las muertes por trampas eléctricas.\nLos objetos se fabrican un 20 % más rápido en la fragua.\nFabrica pegamento a un menor costo.,"Fini l'âge de pierre, bonjour l'ingénierie !\nLes victimes dues aux pièges électriques vous rapportent 15 % d'EXP.\nVous fabriquez des objets 20 % plus rapidement à la forge.\nLa colle coûte moins cher à fabriquer.",Hai ormai abbandonato l'età della pietra e sei un apprendista ingegnere!\nGuadagni il 15% di PE dalle uccisioni con trappole elettrificate.\nLa creazione di oggetti è più veloce del 20% nella fucina.\nCrei colla in modo più economico.,あなたは今、石器時代から抜け出し、エンジニアの見習いとなったのです！\n電動トラップ使用時のキル経験値が15%分獲得できるようになる。\n炉内クラフト速度20%上昇。\n粘着剤に必要な材料個数。,이제 구석기 시대에서 벗어나 견습생이 되었습니다!\n전기 트랩으로 처치 시 XP를 15% 얻습니다.\n대장간에서 아이템 제작 시 속도가 20% 빨라집니다.\n풀을 더 저렴한 비용에 제작합니다.,Awansujesz do stopnia początkującego inżyniera!\nZdobywaj 15% PD za zabójstwa elektryczną pułapką.\nPrzedmioty są wytwarzane 20% szybciej w kuźni.\nWytwarzaj klej taniej.,Você acaba de sair da idade da pedra e tornar-se aprendiz de engenharia!\nGanhe 15% de EXP em mortes de armadilhas elétricas.\nOs itens são fabricados 20% mais rápido na forja.\nFabricação de cola custa menos.,Наконец-то вы из пещерного человека превратились в начинающего инженера!\nЗа убийства с помощью электроловушек вы получаете 15% опыта.\nИзготовление предметов с помощью кузницы на 20% быстрее.\nИзготовление клея обходится дешевле.,Artık taş devrinden çıktın ve çırak Mühendis oldun!\nElektrikli tuzakla öldürmelerden %15 daha fazla DP kazan.\nDemirci ocağında %20 daha hızlı öğe üret.\nYapıştırıcıyı daha ucuza üret.,你已脱离石器时代，成为了一名工程师学徒！\n电力陷阱击杀给予15%经验值。\n在锻造炉制作物品的速度提高20%。\n制作胶水更便宜。,恭喜你脫離石器時代，成為了一名工程師學徒！\n從電陷阱殺敵數獲得 15% 的經驗值。\n鍛造爐製作速度增加 20%。\n製作膠水更便宜。
perkAdvancedEngineeringRank2Desc,progression,perk Int,,,Tinkerer,,Tüftler,Manitas,Bricoleur,Aggiustatutto,修理屋,땜장이,Majsterkowicz,Inventivo,Мастер на все руки,Meraklı Tamirci,修补匠,修補匠
